제목,줄거리,줄거리_번역여부,최초방영일,작품유형,포스터,장르,networks,에피소드수,평점,인기도,주연배우,match_similarity
응답하라 1988,"386세대도 88만원 세대도 아닌, 그래도 아직은 기성세대로는 불리고 싶지 않은 한 여자가 있다. 대한민국에서 가장 많다는 1971년생. 마흔다섯의 성덕선. 덕선이 열여덟이던 1988년, 건국 이래 최고의 행사인 ‘서울 올림픽’이 열렸고 학력고사를 치르던 1989년, 베를린 장벽이 무너졌다. 대학에 입학하던 1990년, MBC 라디오 ‘배철수의 음악캠프’가 시작됐다. 누구에게나 내가 살아온 시대는 특별하기에 그날들을 선명히 기억한다. 월급날 아버지가 사오던 누런 통닭 봉투. 이불 깊숙이 아버지의 밥공기를 넣어 놓던 어머니. 온 가족이 도란도란 모여 앉아 보던 ‘한 지붕 세 가족’. 앞집, 옆집, 뒷집 너나 없이 나누고 살았던 골목 이웃들을 기억한다. 지나온 추억은 아련히 떠올라 밤잠을 뒤척이게 하고 오늘을 살아가는 발판이 된다. ＜응답하라 1988＞은, 우리가 보낸 시간에 관한 이야기이며 그 시절 청춘을 보낸, 그리고 지금의 청춘들에 보내는 위로와 격려다. 현재를 살아가고, 견디며, 잘 지내고 있는 모든 이들에게 보내는 연가, 계절의 봄처럼 짧았고 청춘처럼 찰나로 지나간 그 시절로의 여행을 떠날 것이다.",TRUE,2015-11-06,Scripted,https://image.tmdb.org/t/p/w500/lZo7G1kEU70PHP1dCe46I0cUKiF.jpg,코미디,tvN,20,8.8,13.0612,이혜리|류준열|박보검|고경표|이동휘,1
응답하라 1994,"X세대와 신세대가 젊음의 상징이었고 그 발칙한 신인류에게도 디지털보단 아날로그 소통이 익숙했던 그 때, 20세기에서 가장 다사다난했던 1994년으로 돌아간다. 길보드 차트에선 김건모의 노래가 흘러나오고, 농구장은 오빠 부대의 함성으로 가득 찼었던 그 시절. 삐삐 호출 메시지에 밤 새 잠을 뒤척이고 캠퍼스엔 토익 점수보단 낭만이, 학점보단 꿈이 우선이었던 1994년. 또 다시 응답하라.",TRUE,2013-10-18,Scripted,https://image.tmdb.org/t/p/w500/c6qUlONZ2DcMEuJ2ga6wyAoiEqh.jpg,코미디,tvN,21,7.8,6.5714,고아라|정우|유연석|김성균|손호준,1
응답하라 1997,"서태지에 열광하고 H.O.T와 젝스키스에 미쳤었던 2030세대의 10대 시절, 아버지는 IMF를 맞았고 형제는 힙합바지로 길거리를 쓸고 다녔고 엄마는 드라마에 빠져 살았다. 세월이 지나 바쁜 일상을 살아가고 있는 20, 30대들. 그들이 퇴근 후 소주잔을 기울이며 하는 이야기의 절반은 나의 지난 시절, 그때 그 시절 이야기들이다. 우리가 누렸고 즐겼었던 90년대 이야기. 지금은 돈에 찌들고 세상에 찌들었지만, 이들의 90년대는 더 없이 찬란했다. 평범한 1980년생 직장인 성시원, 그녀를 통해 우리는 화려했던 우리들의 90년대로 귀환한다.",TRUE,2012-07-24,Scripted,https://image.tmdb.org/t/p/w500/j3bg5y6VM31Ljxpo7GFksBtzCsh.jpg,코미디|드라마,tvN,16,8,6.3329,정은지|서인국|은지원|이호원|신소율,1
의사 요한,"살리지 못한다면, 낫게 하지 못한다면 적어도 고통스럽지 않게 해주기 위해 최선을 다하는 의사들의 이야기, 우리 몸을 괴롭히는 통증의 원인을 마치 범인 잡는 수사관처럼 찾아내는 통증의학과 의사들의 이야기. 통증의학과를 배경으로 원인을 알 수 없는 급성·만성통증으로 고통받는 환자들의 이야기가 미스터리한 통증의 원인을 찾는 과정을 마치 범인을 쫓듯 수사물처럼 흥미진진하게 그려낸다.",TRUE,2019-07-19,Scripted,https://image.tmdb.org/t/p/w500/wMKgkgWt4jzZfPlCSsi0ESbyRiE.jpg,드라마,SBS,16,7.64,5.6978,지성|이세영|오현중|이규형|김혜은,1
이 연애는 불가항력,3백여 년 전 철저히 봉인되었던 금서를 얻게 된 여자와 그 금서의 희생양이 된 남자의 불가항력적 로맨스,TRUE,2023-08-23,Scripted,https://image.tmdb.org/t/p/w500/8KxGVT5dWrHZObv1B5oYcIt6xzU.jpg,드라마|Sci-Fi & Fantasy|코미디,JTBC,16,8.1,9.1739,로운|조보아|하준|유라|이필모,1
이두나,"새로운 삶과 학교생활에 적응하려 애쓰는 대학생 원준. 조금 특이한 사정이 있는데, 바로 화려한 K-pop 아이돌 시절을 뒤로하고 돌연 은퇴한 미모의 하우스 메이트와 산다는 것.",TRUE,2023-10-20,Miniseries,https://image.tmdb.org/t/p/w500/uVJgd0E3CYfcGLz9jdUwwyRbySX.jpg,드라마,Netflix,9,7.702,7.596,수지|양세종|하영|박세완|김도완,1
이런 엿같은 사랑,"사건을 쫓던 중 기억을 잃은 야심 찬 검사 고은새. 그런 그녀 앞에 남자 친구라며 나타난 복싱 코치 장태하. 어쩌다 보니 그와 동거는 시작됐지만, 이런 엿 같은 사랑에 빠져도 괜찮은 걸까?",TRUE,2026-08-07,Miniseries,https://image.tmdb.org/t/p/w500/ny8zYj40mWGTgKJi1a8hjNFUj9n.jpg,드라마|코미디,Netflix,12,8.674,52.6209,정해인|하영|허성태|김영옥|전배수,1
이로운 사기,"공감불능 사기꾼과 과공감 변호사, 너무 다른 두 사람의 공조극이자 절대악을 향한 공감가는 복수극이며 간절히 믿고 싶지만, 끝까지 믿을 수 없는 사기극",TRUE,2023-05-29,Scripted,https://image.tmdb.org/t/p/w500/whxwgof7mT8DQ0QVkUad9bOLxLI.jpg,드라마|코미디|범죄,tvN,16,5.9,4.3256,천우희|김동욱|윤박|박소진|이연,1
이리와 안아줘,한 살인사건으로 인해 엇갈린 삶을 살게 된 남녀의 기구한 운명을 그린 드라마,TRUE,2018-05-16,Scripted,https://image.tmdb.org/t/p/w500/liLoSqK1Jh4GRcOSAiToh8ptNMn.jpg,드라마|미스터리,MBC,32,7.2,4.6491,장기용|진기주|허준호|김경남|서정연,1
이몽,일제 강점기 조선을 배경으로 일본인 손에 자란 조선인 의사 이영진과 무장한 비밀결사 의열단장 김원봉이 펼치는 첩보 액션 드라마. 나라와 민족의 독립을 위해 그림자로 살다간 그들의 흔적을 찾아가는 여정이다.,TRUE,2019-05-04,Scripted,https://image.tmdb.org/t/p/w500/tamCRkgzYaBTde4MdYvOzqayE8B.jpg,Action & Adventure|드라마,MBC,40,5.5,3.5506,이요원|유지태|임주환|남규리|이해영,1
이미테이션,아이돌 100만 연예고시 시대에 맞춰 진짜를 꿈꾸는 모든 별들을 응원하는 아이돌 헌정서가 될 프로그램,TRUE,2021-05-07,Scripted,https://image.tmdb.org/t/p/w500/e81oWdxXLrFmfsV0pWdENwQJw2A.jpg,코미디|드라마,KBS2,12,7.6,4.1178,이준영|박지연|정지소|윤호|임나영,1
이번 생도 잘 부탁해,환생을 거듭하며 19회차 인생을 살아가는 반지음이 18회차 인생에서 만난 운명의 남자와 다시 만나면서 펼쳐지는 로맨스 드라마. 이혜의 동명 웹툰 실사화.,TRUE,2023-06-17,Scripted,https://image.tmdb.org/t/p/w500/wwONBdVG7wNm7wVD07aQTZuJGXu.jpg,드라마|코미디,tvN,12,8.131,6.5979,신혜선|안보현|하윤경|안동구|류해준,1
이번 생은 처음이라,집 있는 달팽이가 세상 제일 부러운 '홈리스' 윤지호와 현관만 내 집인 '하우스푸어' 집주인 남세희가 한 집에 살면서 펼쳐지는 수지타산 로맨스 드라마. 서른 살 생일을 맞은 88둥이 지호(정소민)는 인생 최대의 고난을 맞는다. 오랜 동거인이던 남동생의 혼전임신으로 하루아침에 홈리스가 된 것 ! 한편 하우스푸어인 81년생 세희(이민기)는 같이 살던 하우스메이트가 나가면서 다음달 ‘월세’가 펑크 날 위기에 처하는데... 지호는 곤란에 처한 와중 친구 호랑(김가은)의 소개로 타운하우스 하우스메이트로 입주하게 된다. 집주인은 80년생의 남세희라는 이름을 가진 ‘언니’라 믿어 의심치 않는데...,TRUE,2017-10-09,Miniseries,https://image.tmdb.org/t/p/w500/5ULjbe75ZIeWOJY3xogoDxOGzQz.jpg,코미디|드라마,tvN,16,8.2,10.5487,이민기|정소민|박병은|이솜|김민석,1
이벤트를 확인하세요,헤어진 연인이 이벤트로 당첨된 커플 여행에 참여하게 되면서 펼쳐지는 감성 트립 멜로드라마,TRUE,2021-08-14,Miniseries,https://image.tmdb.org/t/p/w500/eI0BnkUJJ67jtmlY7ZswCSxZafE.jpg,드라마,MBC,4,6.6,1.754,안우연|방민아|권화운|남규희|이주명,1
