제목,줄거리,줄거리_번역여부,최초방영일,작품유형,포스터,장르,networks,에피소드수,평점,인기도,주연배우,match_similarity
"사임당, 빛의 일기",조선시대 사임당 신씨의 삶을 재해석해 그의 예술혼과 불멸의 사랑을 그린 드라마. 한국미술사 전공 시간강사 서지윤은 지도교수인 민 교수가 밀고 있는 안견의 금강산도 진위 논란에 휩싸인다. 민 교수의 심기를 건드린 지윤은 이태리 볼로냐 학회에서 낙오되고 거리를 헤매다 운명처럼 고서 한 권을 발견하는데...,TRUE,2017-01-26,Scripted,https://image.tmdb.org/t/p/w500/7KmByFAmHUW6Lz1sgIWoiduYyH4.jpg,드라마|미스터리,SBS,28,5.5,4.3296,이영애|박혜수|송승헌|양세종|오윤아,1
사춘기 메들리,시골의 한 고등학교를 배경으로 풋풋한 고등학생들의 사춘기를 그린 드라마,TRUE,2013-06-30,Miniseries,https://image.tmdb.org/t/p/w500/ftdj1uR2UlGUSnLUhUNY43KmSUN.jpg,코미디|드라마,KBS2,4,3.1,2.093,곽동연|이세영|곽정욱|최태준|박정민,1
산후조리원,"회사에서는 최연소 임원, 병원에서는 최고령 산모 현진이 재난 같은 출산과 조난급 산후조리원 적응기를 거치며 조리원 동기들과 함께 성장해 나가는 격정 출산 느와르",TRUE,2020-11-02,Scripted,https://image.tmdb.org/t/p/w500/whKwjM5hwCcFsKwBvRvTVVGr5BB.jpg,드라마|코미디,tvN,8,7.2,2.6862,엄지원|박하선|장혜진|윤박|최리,1
살롱 드 홈즈,"광선주공아파트 추리력 만렙, 전직 에이스 형사와 보험왕, 그리고 알바의 여왕까지! 우리 단지 해결사로 뭉친 여성 4인방이 아파트 빌런을 응징하는 코믹 워맨스 활극",TRUE,2025-06-16,Scripted,https://image.tmdb.org/t/p/w500/47MCvgws67hNpDZDqlsnUBotjfs.jpg,미스터리|드라마,ENA,10,7.8,4.0975,이시영|정영주|김다솜|남기애|정상훈,1
살인자 난감,우발적인 첫 살인 후 연이어 사람을 죽이게 된 평범한 청년. 자신을 끈질기게 추적하는 형사와 끝없이 쫓고 쫓기는 게임을 시작한다.,TRUE,2024-02-09,Miniseries,https://image.tmdb.org/t/p/w500/e1HOt09BgYH5oZ8xfgi8TQiReYR.jpg,범죄|코미디|미스터리|드라마,Netflix,8,7.364,8.4881,최우식|손석구|이희준|권다함|김민주,1
삼남매가 용감하게,"장녀로 가족을 위해 양보하고 성숙해야 했던 큰딸, 연예계 톱스타로 가족을 부양해야했던 장남 두 사람이 만나 행복을 찾아 나선 이야기",TRUE,2022-09-24,Scripted,https://image.tmdb.org/t/p/w500/ylPNfqOGHH3hAIQf1Bwx5gjYdQt.jpg,가족|드라마|코미디,KBS2,51,5,2.9366,이하나|임주환|김소은|이유진|이태성,1
삼식이 삼촌,'전쟁 중에도 하루 세끼를 먹였다'는 삼식이 삼촌과 초엘리트 김산이란 두 가상의 인물이 사랑과 믿음 혹은 의심의 이야기를 써나가는 작품,TRUE,2024-05-15,Scripted,https://image.tmdb.org/t/p/w500/mSs7Ru92T0SruR1rSDtuna0dezF.jpg,드라마,Disney+,16,7.4,5.2362,송강호|변요한|이규형|서현우|진기주,1
"상두야, 학교가자!","신세대 꽃미남 제비 상두! 퇴물제비 만도의 코치대로 돈 많은 사모님을 낚느라 한창 작업 중인 상두 앞에 난데없이 교복을 입고 나타난 첫사랑 은환! 일은 꼬여만 가고, 은환은 사고까지 당한다. 게다가 세라가 낳은 딸 보리의 담당의사 민석이 은환의 약혼자라니! 10년만에 만난 첫사랑은 상두의 맘을 흔들어 놓고, 상두는 무작정 은환이 수학교사로 있다는 고등학교로 향한다!",TRUE,2003-09-15,Scripted,https://image.tmdb.org/t/p/w500/gGHRqO7d9WNTMA8iEKbHc224vKl.jpg,드라마,KBS2,16,8,2.1165,비|공효진|이동건|홍수현|전혜빈,1
상류사회,"황금 수저를 입에 물고 태어난 재벌딸과 황금사다리를 오르려는 개천용, 두 사람의 불평등한 계급 간 로맨스를 통해 진정한 사랑의 의미와 오포 세대 청춘들에게 희망의 메시지를 전하는 청춘 멜로 드라마다.",TRUE,2015-06-08,Scripted,https://image.tmdb.org/t/p/w500/gldDUMK6AUdbFrCIDJgVEY0V02x.jpg,로맨스|드라마,SBS,16,7.2,4.7773,유이|성준|임지연|박형식|윤지혜,1
상속자들,대한민국 상위 1%에 속하는 재벌가에서 자란 10대 고교생들의 이야기를 담은 드라마,TRUE,2013-10-09,Scripted,https://image.tmdb.org/t/p/w500/6m8M5yATpRRubjhZABMqC9fKYzD.jpg,코미디|드라마,SBS,20,7.755,15.5122,박신혜|이민호|김우빈|김지원|강민혁,1
상어,"사랑하는 여자의 집안에 의해 아버지를 잃고 죽음의 위기에 처한 한 남자가 얼굴을 바꾸고 신분을 숨긴 채 돌아와 여자의 집안에 복수의 칼날을 들이대지만, 복수와 사랑 사이에서 갈등한다는 비극적인 드라마",TRUE,2013-05-27,Miniseries,https://image.tmdb.org/t/p/w500/lIzForYCpB7Q4JrONDZJ8HyTPXh.jpg,드라마,KBS2,20,7.8,3.0286,손예진|김남길|연준석|경수진|이수혁,1
샤이닝,둘만의 세계를 공유하던 청춘들이 서로의 믿음이자 인생의 방향을 비춰주는 빛이 되어가는 과정을 그린 이야기,TRUE,2026-03-06,Miniseries,https://image.tmdb.org/t/p/w500/pn0c1aRfPHdGdOHA6jQbNqrhI3B.jpg,드라마,JTBC,10,7.8,5.1012,진영|김민주|신재하|박세현|김태훈,1
샤크 더 스톰,"자신을 3년간 괴롭힌 가해자 눈을 찌른 사건을 계기로 왕따에서 범죄자로, 범죄자에서 세계 종합격투기 챔피언이 되는 이야기. 영화 ""샤크: 더 비기닝"" 원작 드라마.",TRUE,2025-05-15,Scripted,https://image.tmdb.org/t/p/w500/pHi8dxViJ7LJqk3eme6on0aVISQ.jpg,드라마|범죄|Action & Adventure,TVING,6,7.4,7.2968,김민석|이현욱|정원창|배명진|이정현,1
서류상 아빠,"5살 차이 나는 새아빠가 생겼다!? 딸을 구하는 재벌 3세와, 아빠를 구하는 자매의 좌충우돌 계약, 동거 로맨스",TRUE,2020-08-27,Scripted,https://image.tmdb.org/t/p/w500/i3Lo9EWqyjuT1zYNEWn2eLqxJeY.jpg,드라마,,6,4.2,1.5323,이현주|최경훈|이아라|민세웅|권해우,1
"서른, 아홉","마흔을 코앞에 둔 세 친구의 우정과 사랑, 삶에 대한 깊이 있는 이야기를 다루는 현실 휴먼 로맨스 드라마",TRUE,2022-02-16,Miniseries,https://image.tmdb.org/t/p/w500/1f9BXeKOhGQpqT6uEeBL1xFkmnw.jpg,드라마,JTBC,12,8.25,3.8344,손예진|전미도|김지현|연우진|이무생,1
서른이지만 열일곱입니다,열일곱에 코마에 빠져 서른이 돼 깨어난 '멘탈 피지컬 부조화女'와 세상과 단절하고 살아온 '차단男'. 이들의 서른이지만 열일곱같은 애틋하면서도 코믹한 로코,TRUE,2018-07-23,Scripted,https://image.tmdb.org/t/p/w500/2pBao6zS5WQYAmAE6BuATeIgna5.jpg,드라마|코미디|범죄|미스터리,SBS,32,7.967,7.6522,양세종|신혜선|안효섭|예지원|왕지원,1
서초동,매일 서초동 법조타운으로 출근하는 ‘직장인’ 어쏘 변호사들의 유쾌하고 뜨거운 청춘 드라마,TRUE,2025-07-05,Miniseries,https://image.tmdb.org/t/p/w500/lrhbbIlRsRAY11qHQ366VKht6lv.jpg,드라마,tvN,12,7.638,6.8746,이종석|문가영|강유석|류혜영|임성재,1
선덕여왕,한민족 최초의 여왕인 신라 선덕여왕의 일대기를 그린 드라마,TRUE,2009-05-25,Scripted,https://image.tmdb.org/t/p/w500/mN5StVu9JzTMNs5gJM5Xg2qTPX8.jpg,드라마|역사,MBC,62,7.1,8.7097,이요원|남지현|김남길|고현정|엄태웅,1
"선배, 그 립스틱 바르지 마요","직장 선배에게 첫눈에 반한 화장품 회사 신입사원. 고백할 기회만 보고 있었는데 이게 웬걸. 선배가 몰래 사내 연애를 하고 있다! 상대는 회사에서 승승장구하는 넘사벽 능력자. 가망 없는 짝사랑, 이쯤에서 접어야 하나?",TRUE,2021-01-18,Miniseries,https://image.tmdb.org/t/p/w500/nAwhi1ljYDbcvY3UyvQfBiDLxRt.jpg,드라마,JTBC,16,7.6,4.1206,원진아|로운|이현욱|이주빈|이규한,1
선의의 경쟁,살벌한 입시 경쟁이 벌어지는 대한민국 상위 1% 채화여고에 전학온 '슬기'에게 각자의 욕망을 드러내는 친구들 그리고 수능 출제 위원이었던 아버지의 의문사를 둘러싼 미스터리 걸 스릴러,TRUE,2025-02-10,Scripted,https://image.tmdb.org/t/p/w500/8LuzX83fwFZqvvrq2FRFUFnEZ0g.jpg,미스터리|드라마,U+ Mobile TV,16,8.7,9.8207,이혜리|정수빈|강혜원|오우리|김태훈,1
선재 업고 튀어,안타깝게 생을 마감한 남자 톱스타와 그를 살리기 위해 과거로 간 여자를 그린 타임슬립 판타지 로맨스 드라마. 김빵의 동명 웹소설 원작.,TRUE,2024-04-08,Scripted,https://image.tmdb.org/t/p/w500/9gEp7Rs43Fi3eEEBsIMc8xGewNp.jpg,드라마|Sci-Fi & Fantasy|코미디|미스터리,tvN,16,8.6,13.1512,변우석|김혜윤|송건희|이승협|정영주,1
설강화 : snowdrop,1987년 서울을 배경으로 어느 날 갑자기 여자 기숙사에 피투성이로 뛰어든 명문대생 수호와 서슬 퍼런 감시와 위기 속에서도 그를 감추고 치료해준 여대생 영초의 시대를 거스른 절절한 사랑 이야기,TRUE,2021-12-18,Scripted,https://image.tmdb.org/t/p/w500/eJkd9O0VNzPFtjmkb9vEdPwxW23.jpg,드라마|War & Politics,JTBC,16,8.5,11.271,정해인|지수|유인나|장승조|윤세아,1
설렘주의보,독신주의 철벽남인 스타 닥터와 연애 지상주의자인 톱 여배우가 각자의 말 못 할 속사정으로 가짜 스캔들을 만들어 내면서 벌어지는 예측불허 로맨스.,TRUE,2018-10-31,Scripted,https://image.tmdb.org/t/p/w500/4zFd9OpHkz3e29DLBqtjx3Plh7Q.jpg,코미디,MBN,16,6,2.2172,천정명|윤은혜|한고은|주우재|피오,1
세가지색 판타지,"《세가지색 판타지》는 2017년 1월 26일부터 2017년 3월 23일까지 MBC에서 방영된 문화방송 초미니 드라마합본

마침내 밝혀진 반지의 비밀! 세건(안효섭)은 난희(김슬기)와 미주(윤소희) 사이에서 혼란에 빠진다. 한편 물에 빠진 반지를 찾아낸 태현(이태선)은 자신의 손에 반지를 끼워본다. 엇갈린 반지, 어긋난 인연. 세건이가 사랑하는 건 난희일까 미주일까?",TRUE,2017-01-26,Scripted,https://image.tmdb.org/t/p/w500/sfhN5wbIBiRq8pQlo673fhiJVFw.jpg,드라마,,9,0,2.0418,수호|지우|신현수|나해령|윤시윤,1
세상 어디에도 없는 착한남자,사랑하는 여자에게 배신당한 남자가 복수를 하기 위해 기억을 잃은 또 다른 여자를 이용하면서 갈등과 사랑이 커지는 정통 멜로드라마.,TRUE,2012-09-12,Scripted,https://image.tmdb.org/t/p/w500/irs5SEcpxmIX4rUcWaZH5VLzxwz.jpg,드라마|범죄,KBS2,20,7.4,4.0955,송중기|문채원|박시연|이광수|이유비,1
세상 잘 사는 지은씨,"이 시리즈는 청년기의 각기 다른 단계에 있는 지은이라는 두 여성의 이야기를 담고 있습니다. 시즌 1은 24세 지은이 첫 직장을 시작하고 사랑, 직업, 인생에 대한 중요한 결정을 내리는 과정을 따릅니다. 시즌 2는 대학 생활을 통해 지은이 대학 생활, 사랑, 꿈, 그리고 자신의 미래를 형성할 선택을 탐색하는 과정을 따라갑니다.",TRUE,2018-03-21,Miniseries,https://image.tmdb.org/t/p/w500/60AhuQ77YqgR1rmdYPdb2SpBA4Q.jpg,코미디|드라마,YouTube,8,4.8,2.6787,박규영|정의제,1
세상에서 가장 아름다운 이별,"21년만에 리메이크 되는 노희경 작가의 대표작 중 하나로, 가족을 위해 평생을 희생해 온 중년 주부가 말기암 진단을 받고 가족들과 이별을 준비하는 내용을 담은 드라마",TRUE,2017-12-09,Scripted,https://image.tmdb.org/t/p/w500/vhQ27ikrAHDNFZ1JPr78Xuj2M1y.jpg,드라마|가족,tvN,4,4.7,2.4914,원미경|김영옥|유동근|최지우|민호,1
세상에서 제일 예쁜 내 딸,"나는 왜 툭하면 엄마에게 짜증을 낼까. 나는 왜 툭하면 엄마에게 모든 화풀이를 하는 걸까. 아침에 바빠 죽겠는데 다빈이가 밥 안 먹고 칭얼거리는 게 엄마 잘못인가? 출근길 전철에서 끼여 죽겠는 게 엄마 탓인가? 하아... 우리 모녀는 이 쳇바퀴 도는 애증의 관계에서 언제쯤 벗어날 수 있을까? 나랑 다빈이는 지금의 엄마와 나처럼 살지 않을 수 있을까? 이 드라마는, 대한민국을 살고 있는 ‘엄마와 딸’의 이야기이다. 언제나 내 편이 돼주고, 내 육아와 가사도우미가 되어 주었던, 그럼에도 이 못된 딸을 ‘세상에서 제일 예쁜 내 딸’이라고 말해주는 나의 고단한 어머니를 이제는 놓아드리고 싶다.",TRUE,2019-03-23,Scripted,https://image.tmdb.org/t/p/w500/oTYSS6m3LXw4jgGTlaADd26nJFA.jpg,가족|드라마,KBS2,108,6.9,4.0228,김해숙|김소연|홍종현|유선|김하경,1
세이렌,"빠져들 수밖에 없는 그녀를, 사랑하면 죽는다. 보험 사기를 파헤치는 한 남자가 용의자로 의심되는 한 여자를 지독하게 파헤치며 시작되는 치명적 로맨스릴러",TRUE,2026-03-02,Miniseries,https://image.tmdb.org/t/p/w500/4C5iHtnndCvlbMvsKdRFtCDSE5L.jpg,드라마|범죄|미스터리,tvN,12,7.2,10.1475,박민영|위하준|김정현|한준우|공성하,1
소년시대,"1989년 충청남도, 안 맞고 사는 게 일생 일대의 목표인 외톨이 병태가 어느 날 부여 일짱으로 둔갑하면서 벌어지는 이야기",TRUE,2023-11-24,Scripted,https://image.tmdb.org/t/p/w500/i6CvMMHSSazMBnDFl3tytlJyJXH.jpg,코미디|드라마|Action & Adventure,Coupang Play,10,8.2,3.8949,임시완|이선빈|이시우|강혜원|김정진,1
소년심판,"소년범을 혐오하는 까칠한 판사가 지방법원 소년부에 부임한다. 복잡다단한 사건들을 다루며, 소년범에 대한 반감, 정의와 형벌에 대한 굳건한 신념 사이에서 균형을 잡아간다. 청소년 범죄율이 가장 높은 법원이라니 이제 법정의 칼바람은 예고된 것일까.",TRUE,2022-02-25,Miniseries,https://image.tmdb.org/t/p/w500/sWhB5ufz3hrJQMtxxlQzqjlrv2l.jpg,드라마|범죄,Netflix,10,8.073,9.3082,김혜수|김무열|이성민|이정은|이상희,1
소방서 옆 경찰서,"범인 잡는 경찰과 화재 잡는 소방의 공동대응 현장일지. 한 번 물면 반드시 잡는 열혈 형사와 작은 상처도 놓치지 않으며 마음까지 어루만지는 구급대원, 화염 속으로 돌진하는 소방관이야기",TRUE,2022-11-12,Scripted,https://image.tmdb.org/t/p/w500/4dgPpG7Efj0dIaPFI40eXYQosG6.jpg,드라마,SBS,12,8.033,18.3979,김래원|손호준|공승연|손지윤|강기둥,1
소용없어 거짓말,거짓말이 들리는 능력 때문에 사람을 믿지 못하는 여자가 누구도 결백을 믿어주지 않는 살인 용의자와 얽히며 진실을 파헤치는 미스터리 로맨스 작품.,TRUE,2023-07-31,Scripted,https://image.tmdb.org/t/p/w500/ayi72c1WLJpwG5GMs8RL5G6972s.jpg,미스터리|코미디|드라마|Sci-Fi & Fantasy,tvN,16,7.755,7.498,김소현|황민현|서지훈|이시우|윤지온,1
손: The Guest,"2018년 9월 OCN에서 방영을 시작한 미스터리 드라마. 동해의 작은 마을에 전해 오는 전설이 있다. 동쪽 바다 깊은 곳에서 와서 사람에게 들어온다는 큰 귀신, 손. 20년 전 작은 마을에서 잔인한 살인 사건이 발생한다. 그리고 20년 후 발생하는 일련의 기괴한 살인 사건들. 말로 설명되지 않는 기이한 힘에 의해 벌어진 범죄. 인간의 일그러진 마음에 깃든 손, 그 손에 씌인 사람들이 저지르는 잔인한 살인사건들. 영매, 사제, 그리고 형사가 각기 다른 이유로 손을 찾기 시작한다. 이들이 쫓는 손의 정체는 무엇일까?",TRUE,2018-09-12,Scripted,https://image.tmdb.org/t/p/w500/mZq0Ou89Er6EOBnpRFWCvxNj3AY.jpg,미스터리|드라마|범죄,OCN,16,8,6.017,김동욱|김재욱|정은채|이원종|박호산,1
쇼핑왕 루이,돈으로 무엇이든 살 수 있었던 남자. 쇼핑왕 루이가 날개 없는 천사 고복실을 만나 돈으로는 쇼핑 불가능한 사랑의 정서를 귀하게 얻어 가는 이야기,TRUE,2016-09-21,Scripted,https://image.tmdb.org/t/p/w500/vB17pXlKkuwLTnJelkrJonMPElq.jpg,코미디|드라마,MBC,16,7.9,5.0422,서인국|남지현|윤상현|임세미|오대환,1
수상한 그녀,"여기 한 할머니가 계십니다. 평생 나보다는 가족과 남편과 자식이 먼저였던 할머니. 할머니는 그게 가족 된 도리이자 자식에 대한 사랑이라고 생각해 오셨는데, 가족들도, 자식들도, 본인을 알아주지 않는 것 같아 서럽고 외로우십니다. 무엇을 해도 예뻐 보였을 젊은 날을 맘껏 누리지 못해 아쉽고, 시간을 다시 돌릴 수 있다면 본인만을 위해 살겠다 하십니다. 그러던 할머니가 어느 날 마법처럼 젊어지셨고, 꿈 같은 젊음의 시간을 보내게 되었습니다. 그리고 다시 돌아오신 할머니가 말씀하십니다. 모르고 있었다고, 사랑이라 믿고 견뎠던 자신의 희생이 가족과 자식들에게 아픔과 미안함이 될 수도 있었다는 것을… 그리고 깨달았다고, 젊을 적에는 생기가 넘치는 내가 아름다웠지만, 나이가 들어 하루하루가 귀해지니 세상이 아름다워졌다는 것을… 그러고 보면 젊음도 아름답지만 늙어감 또한 참으로 아름다운 일입니다. 이 이야기는 어느 할머니에 대한 이야기이기도 하지만, 우리 모두의 미래에 대한 이야기이자, 지금의 우리에 대한 이야기입니다.",TRUE,2024-12-18,Scripted,https://image.tmdb.org/t/p/w500/9JzL5NG2yXHOEkFY95vsboWhiy.jpg,드라마|Sci-Fi & Fantasy|코미디|미스터리,KBS2,12,6.7,4.1972,김해숙|정지소|정진영|채원빈|김소원,1
수상한 파트너,"두 남녀 주인공이 편견 가득한 세상과 싸우고 화해하며, 희생을 통해 성장해가는 스토리를 그린 심장쫄깃 로맨스드라마",TRUE,2017-05-10,Scripted,https://image.tmdb.org/t/p/w500/4ljaX3WO4RO7uTnQ5fKbaWgm85O.jpg,코미디|범죄|드라마,SBS,40,7.839,8.9068,지창욱|남지현|최태준|권나라|동하,1
순정복서,사라진 천재 복서 이권숙과 냉혈한 에이전트 김태영의 인생을 건 승부 조작 탈출기. 추종남의 소설 ‘순정복서 이권숙’을 원작.,TRUE,2023-08-21,Scripted,https://image.tmdb.org/t/p/w500/cuUvsLsZmb90bsqvTTZTbQIqP0W.jpg,드라마,KBS2,12,7.2,3.4776,이상엽|김소혜|김진우|박지환|김형묵,1
순정에 반하다,피도 눈물도 없는 냉혈남이 새 심장을 얻은 후 오직 한 여자에게만 뜨거운 가슴을 지닌 감성 충만한 순정남으로 180도 달라지면서 벌어지는 로맨틱 힐링 드라마,TRUE,2015-04-03,Scripted,https://image.tmdb.org/t/p/w500/lKaQpKlaynFf7QQMAR3Ut6Id6t.jpg,드라마|로맨스|코미디,JTBC,16,7.7,3.3496,정경호|김소연|윤현민|박영규|안석환,1
술꾼도시여자들,"하루 끝의 술 한잔이 인생의 신념인 세 여자의 일상을 그린 본격 기승전술 드라마. 쉴틈없이 소주를 권하는 종이접기 유튜버 지구, 지나친 하이텐션의 요가 강사 지연, 소개팅 나와서도 일하는 방송작가 소희까지…이 여자들 전부, 감당불가 술꾼이다.",TRUE,2021-10-22,Scripted,https://image.tmdb.org/t/p/w500/8xAhACoI550LTSzAPKlzdRUoPsh.jpg,드라마|코미디,TVING,12,8.1,6.7084,이선빈|한선화|정은지|최시원|김정민,1
숨바꼭질,"대한민국 유수의 화장품 기업의 상속녀와 그의 인생을 대신 살아야만 했던 또 다른 여자에게 주어진 운명, 그리고 이를 둘러싼 욕망과 비밀을 그렸다고 하는 막장 드라마",TRUE,2018-08-25,Scripted,https://image.tmdb.org/t/p/w500/dtNi8XDyc8Y7p4vvNyiP1MCfYMe.jpg,드라마,MBC,48,6.3,4.1387,이유리|송창의|엄현경|김영민|조미령,1
슈츠,"대한민국 최고 로펌의 전설적인 변호사 최강석(장동건)과 괴물 같은 기억력을 탑재한 가짜 신입 변호사 고연우(박형식)의 브로맨스를 그린 드라마

‘슈츠’는 저마다 다른 욕망과 가치가 충돌하는 대한민국 최고 로펌을 배경으로 법의 저울을 움직이기 위해 고군분투하는 변호사들의 활약을 그린다.",TRUE,2018-04-25,Scripted,https://image.tmdb.org/t/p/w500/isNK0MsPa3kFQbJA3SQzcxFUO2K.jpg,드라마|코미디,KBS2,16,7.208,4.3615,장동건|박형식|채정안|고성희|진희경,1
슈퍼대디 열,한때는 화목한 가정을 꿈꿨지만 미래에게 차인 후 지금은 평생 혼자 사는 것이 목표인 아웃사이더 독신남 '한열' 앞에 10년 만에 불현듯 나타나 결혼하자고 말하는 싱글맘 닥터 '차미래' 그리고 그저 아빠가 갖고 싶은 미운 아홉 살 사랑이의 강제 일촌만들기,TRUE,2015-03-13,Scripted,https://image.tmdb.org/t/p/w500/tRT62CAEBU0YxwSmRAQ7244qixL.jpg,코미디|가족|로맨스|드라마,tvN,16,5.4,2.3667,이동건|이레|서준영|서예지|강남길,1
스마일 어게인,두 남자의 우정이 한 여자를 사랑하게 되며 그려지는 엇갈린 사랑 이야기.,TRUE,2006-05-17,Scripted,https://image.tmdb.org/t/p/w500/rZpOAZrzcjG6GzF3SozhRRBuayw.jpg,드라마|로맨스|코미디,SBS,16,6,2.5379,김희선|이동건|이진욱|윤세아|김보연,1
스물다섯 스물하나,꿈은 그저 꿈으로만 남을 것 같던 그 시절. 야심 찬 목표를 향해 달려가던 고등학교 펜싱선수가 무너진 삶을 다시 세우려 억척스럽게 살아가는 청년을 만난다.,TRUE,2022-02-12,Scripted,https://image.tmdb.org/t/p/w500/706Ar36Q1XT3056JQHoYpJbh6W0.jpg,드라마,tvN,16,8.5,8.091,김태리|남주혁|보나|최현욱|이주명,1
스웨덴 세탁소,"사랑, 우정, 취업 등 타인의 고민을 볼 수 있는 초능력을 가진 평범한 여주인공을 통해 일상생활의 단면과 인물의 심리를 디테일하고 코믹하게 표현한 코믹 판타지 드라마",TRUE,2014-11-21,Scripted,https://image.tmdb.org/t/p/w500/n2Chk0NgmlpqgdSluDW0kAKgI5Y.jpg,코미디|드라마|가족,MBC every1,16,3.3,1.7837,창조|김보령|오상진|송하윤|황승언,1
스위트홈,인간이 무시무시한 괴물로 변하는 세상. 사방이 공포로 물들었다. 이제 소수의 생존자들은 끝까지 인간성을 놓치지 않기 위해 목숨 건 사투를 벌인다.,TRUE,2020-12-18,Scripted,https://image.tmdb.org/t/p/w500/kJEcSBMPacDJuAihPNmcUEgon1Y.jpg,Sci-Fi & Fantasy|Action & Adventure,Netflix,10,8.2,22.63,송강|이진욱|이시영|이도현|김남희,1
스타의 연인,"스타인 이마리와 김철수가 펼쳐내는 가장 현실적인 사랑의 이야기이다.  마릴린 먼로와 아서 밀러의 이야기를 현대에 옮겨놓은 듯한 ‘스타와의 사랑’ 이라는 판타지에 가까운 소재를 그간의 드라마들이 보여주었던 통속적인 ‘신데렐라 스토리’에서 벗어나 정반대의 두 사람의 만남에서부터 현실과 진실에 눈뜬 사랑과 연애를 이루어가는 과정을 담아낸다.

극중 유지태는 누구보다 똑똑한 머리에 넘치는 교양과 박식함까지 두루 갖췄지만 타고난 까칠한 성격에 꿈꾸던 이상과 달리 현실을 벗어나지 못한 채 대학원생이자 시간강사이자 소설가 지망생인 ‘김철수’로 분하여 스타인 마리와의 만남을 통해 안주해버린 현실에서의 진실된 사랑을 찾아간다는 스토리를 담고 있다.",TRUE,2008-12-10,Scripted,https://image.tmdb.org/t/p/w500/j4ZJm0xyE0dxnNDI9UIPqaRtlA7.jpg,드라마,SBS,20,8.5,2.4021,유지태|최지우|이기우|차예련|윤주상,1
스타일,패션업계를 배경으로 20~30대 젊은이들의 일과 사랑을 트렌디하게 그린 작품으로 백영옥 작가의 소설'스타일'을 원작으로 한 드라마이다.,TRUE,2009-08-01,Scripted,https://image.tmdb.org/t/p/w500/xPz8GsDTSMH5NDTi0w4Wy9qANzp.jpg,드라마|코미디,SBS,16,2.5,2.7393,이지아|김혜수|류시원|이용우,1
스타트업,"꿈을 현실로, 불가능을 가능으로! 아이디어 있겠다, 기술 있겠다. 못 할 것도 없지. 치열한 스타트업의 세계에 뛰어드는 젊은 창업자들. 성공도 사랑도 쟁취하고야 만다. 초라한 계약직 서달미는 15년 전 편지 속 첫사랑 남도산을 찾아야 한다. 잘나가는 CEO가 된 친언니 원인재의 앞에서 떤 허세 때문에! 그리고 그 허세 때문에 고단해지는 한남자 한지평이 있었으니...",TRUE,2020-10-17,Scripted,https://image.tmdb.org/t/p/w500/hq55ekoWj3zHfBM8RoyxYcw64l3.jpg,드라마|코미디,tvN,16,8.2,5.7543,수지|남주혁|김선호|강한나|김해숙,1
스터디그룹,공부를 잘하고 싶지만 싸움에만 재능이 몰빵된 ‘윤가민’이 최악의 꼴통 학교에서 (진짜로) 피 튀기는 입시에 뛰어들며 ‘스터디그룹’을 결성하는 코믹 고교 액션,TRUE,2025-01-23,Scripted,https://image.tmdb.org/t/p/w500/rLrEtysTwvVZESavwufnoGIaq8j.jpg,Action & Adventure|코미디|드라마,TVING,10,8.6,14.6772,황민현|이종현|공도유|신수현|차우민,1
스토브리그,"팬들의 눈물마저 마른 꼴찌팀에 새로 부임한 단장이 남다른 시즌을 준비하는 뜨거운 겨울 이야기. 프로야구 경제적 효과 2조원, 프로야구 관중 800만 시대, 역동적인 그라운드, 진한 땀 냄새에 열광하는 프로야구 팬들의 취향 저격하는 이야기. 선수가 아닌 단장을 비롯한 프런트들의 이야기다. 프로 스포츠의 조연인 프런트를 쫓아가는 이 드라마는 사실 그들이 단순 그림자가 아닌 겨울 시즌의 또 다른 주인공임을 보여줄 것이다.",TRUE,2019-12-13,Scripted,https://image.tmdb.org/t/p/w500/80BizmL21vPy8g7qS5lcxOWh7Ig.jpg,드라마,SBS,16,8.3,4.8997,남궁민|박은빈|오정세|조병규|윤병희,1
스틸러: 일곱 개의 조선통보,베일에 싸인 문화재 도둑 스컹크와 비공식 문화재 환수팀 ‘카르마’가 뭉쳐 법이 심판하지 못하는 자들을 상대로 펼치는 케이퍼 코믹 액션물.,TRUE,2023-04-12,Miniseries,https://image.tmdb.org/t/p/w500/e3Pei1hJj4VVBJ4vIvVbTADgpIg.jpg,드라마|Action & Adventure|코미디,tvN,12,4.3,2.7481,주원|이주우|조한철|김재원|최화정,1
스포트라이트,"인권이 먼저인가? 아니면 시청자의 알 권리가 먼저인가?

드라마 스포트라이트는 이런한 질문을 스스로에게 끊임없이 던지고 답변해나가는 기자들의 모습을 통해 이 시대가 원하는 진정한 기자상이란 무엇인가, 진정한 저널리즘이란 무엇인가에 대한 진지한 문제에 접근하고자 한다.",TRUE,2008-05-14,Scripted,https://image.tmdb.org/t/p/w500/dSCIEIZqLilV6uJDQS2w6iH2p2R.jpg,드라마,MBC,16,6,2.4004,손예진|지진희|진구|조윤희|김보경,1
스폰서,"성공, 복수, 아이, 사랑 등 각기 다른 욕망을 향해 폭주기관차처럼 달려가는 네 남녀의 본격 치정 로맨스 드라마",TRUE,2022-02-23,Scripted,https://image.tmdb.org/t/p/w500/nmO00spTMeS7nGCTakzdvbn7SpA.jpg,드라마,iHQ|MBN,12,6.7,1.9888,한채영|이지훈|구자성|지수연|김윤서,1
